"","B1PAGE_M2","B1PRSEX","B1PD1","B1PD2","B1PD14","B1PD15","B1SNEGFW","TROUBLE","B1SQ1"
"206",74,"(2) Female","(1) Yes","(01) Husband",52,96,NA,"Never",8
"207",65,"(2) Female","(1) Yes","(13) Other (specify)",NA,8,NA,NA,NA
"208",59,"(1) Male","(2) No",NA,NA,NA,8,"Never",9
"209",66,"(2) Female","(2) No",NA,NA,NA,NA,"Never",9
"210",66,"(2) Female","(2) No",NA,NA,NA,NA,"Never",10
"211",55,"(2) Female","(2) No",NA,NA,NA,13,"Never",8
"212",70,"(1) Male","(2) No",NA,NA,NA,5,"Never",8
"213",64,"(2) Female","(2) No",NA,NA,NA,NA,NA,10
"214",43,"(1) Male","(2) No",NA,NA,NA,11,"Never",9
"215",46,"(2) Female","(2) No",NA,NA,NA,12,"Never",10
"216",51,"(2) Female","(2) No",NA,NA,NA,NA,NA,9
"217",61,"(1) Male","(2) No",NA,NA,NA,7,"Never",8
"218",66,"(1) Male","(2) No",NA,NA,NA,NA,"Never",10
"219",59,"(1) Male","(2) No",NA,NA,NA,6,NA,9
"220",57,"(2) Female","(2) No",NA,NA,NA,8,"Never",9
"221",45,"(1) Male","(2) No",NA,NA,NA,9,"Once or a few times",7
"222",66,"(2) Female","(2) No",NA,NA,NA,4,NA,9
"223",45,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"224",69,"(2) Female","(2) No",NA,NA,NA,4,"Never",5
"225",65,"(2) Female","(2) No",NA,NA,NA,4,"Once or a few times",10
"226",33,"(2) Female","(2) No",NA,NA,NA,9,"Once or a few times",6
"227",47,"(2) Female","(2) No",NA,NA,NA,7,"Once or a few times",9
"228",47,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"229",44,"(2) Female","(2) No",NA,NA,NA,4,"Never",9
"230",51,"(2) Female","(2) No",NA,NA,NA,8,"Never",8
"231",55,"(2) Female","(2) No",NA,NA,NA,5,"Never",10
"232",43,"(1) Male","(2) No",NA,NA,NA,6,NA,7
"233",68,"(1) Male","(2) No",NA,NA,NA,NA,"Never",2
"234",63,"(2) Female","(2) No",NA,NA,NA,4,"Never",10
"235",55,"(1) Male","(2) No",NA,NA,NA,6,"Once or a few times",6
"236",42,"(1) Male","(2) No",NA,NA,NA,8,NA,7
"237",81,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"238",69,"(2) Female","(1) Yes","(01) Husband",4,5,NA,"Never",9
"239",42,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"240",65,"(2) Female","(2) No",NA,NA,NA,8,"Once or a few times",7
"241",64,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"242",59,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"243",40,"(2) Female","(2) No",NA,NA,NA,8,"Never",8
"244",60,"(2) Female","(2) No",NA,NA,NA,NA,"Once or a few times",9
"245",62,"(1) Male","(1) Yes","(05) Father",52,5,4,NA,9
"246",62,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"247",71,"(2) Female","(2) No",NA,NA,NA,10,NA,8
"248",65,"(2) Female","(2) No",NA,NA,NA,8,"Never",8
"249",45,"(2) Female","(1) Yes","(03) Son",24,56,11,NA,7
"250",48,"(2) Female","(2) No",NA,NA,NA,11,NA,8
"251",71,"(1) Male","(2) No",NA,NA,NA,4,"Once or a few times",10
"252",51,"(2) Female","(2) No",NA,NA,NA,7,"Once or a few times",9
"253",51,"(2) Female","(2) No",NA,NA,NA,NA,"Never",10
"254",37,"(1) Male","(2) No",NA,NA,NA,10,"Most or all of the time",7
"255",66,"(2) Female","(2) No",NA,NA,NA,NA,NA,9
"256",73,"(1) Male","(2) No",NA,NA,NA,NA,"Never",9
"257",39,"(2) Female","(1) Yes","(06) Mother",12,5,9,"Once or a few times",10
"258",45,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"259",69,"(1) Male","(2) No",NA,NA,NA,9,"Never",8
"260",75,"(1) Male","(1) Yes","(13) Other (specify)",6,4,9,NA,7
"261",38,"(2) Female","(2) No",NA,NA,NA,8,"Most or all of the time",7
"262",64,"(1) Male","(2) No",NA,NA,NA,5,"Never",9
"263",56,"(2) Female","(2) No",NA,NA,NA,5,"Never",8
"264",54,"(1) Male","(2) No",NA,NA,NA,8,"Once or a few times",8
"265",42,"(2) Female","(2) No",NA,NA,NA,10,"Once or a few times",9
"266",41,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"267",70,"(1) Male","(2) No",NA,NA,NA,NA,"Once or a few times",8
"268",68,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"269",49,"(1) Male","(2) No",NA,NA,NA,9,"Never",8
"270",47,"(2) Female","(1) Yes","(13) Other (specify)",40,30,8,"Never",9
"271",56,"(1) Male","(2) No",NA,NA,NA,NA,"Never",6
"272",80,"(2) Female","(2) No",NA,NA,NA,NA,NA,10
"273",84,"(2) Female","(2) No",NA,NA,NA,NA,NA,10
"274",44,"(1) Male","(2) No",NA,NA,NA,8,"Never",8
"275",61,"(1) Male","(2) No",NA,NA,NA,8,"Never",9
"276",45,"(1) Male","(2) No",NA,NA,NA,6,"Once or a few times",8
"277",44,"(1) Male","(1) Yes","(08) Sister",52,2,8,"Never",10
"278",71,"(2) Female","(1) Yes","(06) Mother",26,96,11,"Most or all of the time",5
"279",38,"(2) Female","(2) No",NA,NA,NA,9,"Never",9
"280",54,"(2) Female","(2) No",NA,NA,NA,9,"Never",7
"281",55,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"282",58,"(1) Male","(2) No",NA,NA,NA,9,"Never",6
"283",49,"(2) Female","(2) No",NA,NA,NA,13,"Once or a few times",8
"284",59,"(2) Female","(2) No",NA,NA,NA,4,NA,10
"285",61,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"286",77,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"287",79,"(1) Male","(2) No",NA,NA,NA,NA,"Never",8
"288",53,"(2) Female","(2) No",NA,NA,NA,5,"Once or a few times",10
"289",61,"(1) Male","(1) Yes",NA,4,8,9,NA,5
"290",34,"(2) Female","(2) No",NA,NA,NA,14,"Once or a few times",8
"291",51,"(2) Female","(2) No",NA,NA,NA,NA,NA,7
"292",49,"(1) Male","(2) No",NA,NA,NA,7,"Once or a few times",8
"293",45,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"294",65,"(2) Female","(2) No",NA,NA,NA,6,NA,8
"295",41,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"296",73,"(1) Male","(1) Yes","(03) Son",52,3,NA,"Never",8
"297",56,"(2) Female","(2) No",NA,NA,NA,6,"Once or a few times",8
"298",66,"(1) Male","(1) Yes","(13) Other (specify)",0,0,NA,NA,NA
"299",53,"(1) Male","(2) No",NA,NA,NA,NA,NA,9
"300",82,"(2) Female","(2) No",NA,NA,NA,NA,NA,9
"301",65,"(2) Female","(2) No",NA,NA,NA,7,"Never",8
"302",46,"(2) Female","(2) No",NA,NA,NA,4,"Never",9
"303",44,"(2) Female","(2) No",NA,NA,NA,8,"Never",8
"304",59,"(1) Male","(2) No",NA,NA,NA,10,"Most or all of the time",5
"305",48,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"306",56,"(2) Female","(2) No",NA,NA,NA,8,"Never",10
"307",54,"(2) Female","(1) Yes","(06) Mother",8,20,7,NA,8
"308",55,"(1) Male","(2) No",NA,NA,NA,4,"Never",10
"309",43,"(2) Female","(2) No",NA,NA,NA,12,"Once or a few times",8
"310",39,"(2) Female","(1) Yes","(13) Other (specify)",30,15,NA,"Never",8
"311",39,"(1) Male","(2) No",NA,NA,NA,8,"Once or a few times",8
"312",40,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"313",50,"(1) Male","(2) No",NA,NA,NA,6.666666666667,NA,9
"314",73,"(2) Female","(2) No",NA,NA,NA,NA,"Never",NA
"315",47,"(2) Female","(2) No",NA,NA,NA,5,"Once or a few times",9
"316",73,"(2) Female","(2) No",NA,NA,NA,NA,NA,9
"317",44,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"318",44,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"319",77,"(1) Male","(2) No",NA,NA,NA,6,NA,9
"320",57,"(2) Female","(1) Yes","(06) Mother",42,96,11,NA,8
"321",72,"(2) Female","(1) Yes","(13) Other (specify)",12,1,8,NA,9
"322",59,"(1) Male","(2) No",NA,NA,NA,8,"Never",8
"323",83,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"324",42,"(1) Male","(2) No",NA,NA,NA,4,"Never",8
"325",50,"(2) Female","(2) No",NA,NA,NA,11,"Never",10
"326",37,"(2) Female","(1) Yes","(03) Son",52,NA,10,"Never",7
"327",76,"(2) Female","(2) No",NA,NA,NA,NA,NA,7
"328",37,"(1) Male","(2) No",NA,NA,NA,6,"Never",9
"329",57,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"330",58,"(1) Male","(2) No",NA,NA,NA,NA,"Never",9
"331",70,"(1) Male","(2) No",NA,NA,NA,NA,"Never",10
"332",51,"(2) Female","(2) No",NA,NA,NA,8,"Once or a few times",7
"333",41,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"334",45,"(1) Male","(2) No",NA,NA,NA,8,"Never",10
"335",60,"(1) Male","(1) Yes","(12) Mother-in-law",16,3,4,"Once or a few times",9
"336",56,"(1) Male","(2) No",NA,NA,NA,10,"Once or a few times",6
"337",41,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"338",55,"(2) Female","(2) No",NA,NA,NA,8,"Once or a few times",8
"339",56,"(2) Female","(2) No",NA,NA,NA,10,"Most or all of the time",5
"340",70,"(1) Male","(2) No",NA,NA,NA,NA,"Never",9
"341",82,"(1) Male","(2) No",NA,NA,NA,6,"Never",10
"342",67,"(1) Male","(2) No",NA,NA,NA,10,"Never",10
"343",42,"(2) Female","(2) No",NA,NA,NA,10,"Most or all of the time",6
"344",52,"(1) Male","(2) No",NA,NA,NA,8,"Never",9
"345",56,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"346",64,"(2) Female","(2) No",NA,NA,NA,11,"Once or a few times",8
"347",51,"(2) Female","(2) No",NA,NA,NA,4,"Never",8
"348",56,"(1) Male","(2) No",NA,NA,NA,7,"Never",9
"349",73,"(2) Female","(2) No",NA,NA,NA,11,"Never",9
"350",45,"(2) Female","(1) Yes","(13) Other (specify)",2,24,NA,NA,8
"351",60,"(1) Male","(2) No",NA,NA,NA,5,NA,7
"352",51,"(1) Male","(2) No",NA,NA,NA,7,"Never",9
"353",53,"(1) Male","(2) No",NA,NA,NA,8,"Never",9
"354",53,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"355",63,"(1) Male","(1) Yes","(13) Other (specify)",2,2,NA,NA,NA
"356",61,"(1) Male","(2) No",NA,NA,NA,11,"Never",8
"357",42,"(2) Female","(1) Yes","(06) Mother",24,21,12,"Once or a few times",9
"358",41,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"359",46,"(1) Male","(2) No",NA,NA,NA,NA,NA,10
"360",80,"(1) Male","(2) No",NA,NA,NA,NA,NA,8
"361",47,"(1) Male","(2) No",NA,NA,NA,10,"Never",7
"362",52,"(2) Female","(2) No",NA,NA,NA,6,NA,8
"363",76,"(1) Male","(2) No",NA,NA,NA,NA,"Never",9
"364",48,"(2) Female","(2) No",NA,NA,NA,11,"Most or all of the time",8
"365",46,"(1) Male","(2) No",NA,NA,NA,6,"Never",8
"366",46,"(2) Female","(2) No",NA,NA,NA,NA,"Once or a few times",9
"367",69,"(2) Female","(2) No",NA,NA,NA,4,NA,10
"368",43,"(2) Female","(2) No",NA,NA,NA,13,"Once or a few times",7
"369",51,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"370",60,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"371",56,"(2) Female","(2) No",NA,NA,NA,11,"Most or all of the time",4
"372",36,"(1) Male","(2) No",NA,NA,NA,7,"Never",8
"373",69,"(2) Female","(2) No",NA,NA,NA,NA,NA,10
"374",73,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"375",57,"(2) Female","(2) No",NA,NA,NA,6,"Never",9
"376",38,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
"377",62,"(1) Male","(1) Yes","(06) Mother",42,20,4,"Never",8
"378",44,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"379",46,"(1) Male","(2) No",NA,NA,NA,14,"Never",8
"380",35,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"381",57,"(1) Male","(2) No",NA,NA,NA,8,"Never",8
"382",67,"(2) Female","(2) No",NA,NA,NA,5,"Never",9
"383",69,"(1) Male","(2) No",NA,NA,NA,8,"Never",10
"384",62,"(2) Female","(2) No",NA,NA,NA,8,"Never",8
"385",64,"(1) Male","(2) No",NA,NA,NA,NA,NA,NA
"386",48,"(2) Female","(2) No",NA,NA,NA,7,"Never",8
"387",74,"(2) Female","(2) No",NA,NA,NA,NA,NA,NA
