"","V201231x","V201507x","V201600","V201549x","V202468x","V202543","V202557","V202576","V201200","V202452"
"44",7,53,2,1,19,5,1,-1,7,5
"45",5,72,2,1,22,4,1,-1,3,2
"46",7,55,1,1,1,4,1,-1,6,3
"47",1,79,1,1,10,5,2,-1,2,3
"48",3,38,1,1,21,-1,2,-1,3,3
"49",7,42,2,4,12,4,1,-1,4,2
"50",3,70,1,1,15,4,2,-1,6,2
"51",1,50,2,5,-9,5,1,-1,4,1
"52",1,50,2,2,10,5,2,-1,2,2
"53",4,27,2,1,1,-6,-6,-6,4,-6
"54",7,62,1,1,1,-1,2,-1,99,2
"55",4,51,2,-9,-9,-1,1,-1,4,5
"56",7,60,1,1,15,-6,-6,-6,6,-6
"57",1,65,2,1,9,5,1,-1,3,3
"58",3,-9,1,1,21,5,2,-1,3,1
"59",6,48,1,1,9,-1,1,-1,4,4
"60",5,55,1,1,13,4,1,-1,6,4
"61",4,54,1,1,19,5,2,-1,5,3
"62",2,38,2,1,13,5,2,-1,4,2
"63",1,80,1,1,10,-1,2,-1,2,1
"64",2,37,2,6,15,4,2,-1,2,1
"65",3,38,1,1,22,4,2,-1,2,4
"66",5,60,1,1,11,5,1,-1,4,5
"67",3,46,1,6,14,5,2,-1,5,2
"68",1,78,2,1,17,-1,2,-1,1,1
"69",1,39,2,1,16,3,2,-1,2,1
"70",2,33,2,2,11,5,2,-1,2,3
"71",1,74,2,1,1,4,2,-1,2,1
"72",2,61,2,1,10,-1,2,-1,3,2
"73",1,67,2,1,6,-1,1,-1,99,3
"74",2,60,2,1,13,5,2,-1,99,3
"75",7,-9,1,1,17,4,1,-1,6,4
"76",4,21,1,2,6,-1,2,-1,99,3
"77",1,49,2,2,1,4,1,-1,4,3
"78",1,80,1,1,16,-1,2,-1,2,4
"79",5,70,1,1,6,4,2,-1,4,2
"80",1,70,2,1,6,2,2,-1,5,2
"81",5,72,1,1,18,-1,2,-1,5,3
"82",7,78,2,1,10,-1,1,-1,7,2
"83",1,43,2,1,10,-1,2,-1,2,3
"84",4,45,2,2,3,4,1,-1,99,3
"85",2,44,2,1,21,4,2,-1,3,1
"86",1,50,2,3,6,5,1,-1,4,4
"87",4,-9,2,1,-9,5,2,-1,4,3
"88",3,33,2,1,15,5,2,-1,3,1
"89",7,55,2,1,14,5,1,-1,99,4
"90",6,28,2,1,20,5,2,-1,5,3
"91",7,34,2,1,22,5,2,-1,5,3
"92",7,24,2,1,20,5,1,-1,2,1
"93",7,26,2,1,2,2,1,-1,7,5
"94",1,75,1,1,7,5,2,-1,3,3
"95",4,61,1,5,13,-1,1,-1,5,4
"96",7,80,2,1,22,4,1,-1,6,2
"97",3,58,1,1,18,-1,2,-1,3,2
"98",2,50,2,3,12,4,2,-1,4,1
"99",1,76,2,1,6,4,2,-1,3,1
"100",4,80,2,1,9,5,2,-1,4,4
"101",1,48,2,6,1,1,1,-1,2,3
"102",4,61,2,1,17,5,2,-1,3,5
"103",1,45,2,1,17,4,2,-1,2,1
"104",7,37,2,1,7,4,1,-1,6,2
"105",7,36,1,1,17,4,1,-1,6,4
"106",1,80,2,1,3,-1,2,-1,2,2
"107",7,66,2,1,4,-1,1,-1,7,3
"108",5,80,2,1,10,5,2,-1,5,3
"109",5,66,1,5,19,-1,1,-1,6,3
"110",6,60,2,1,17,5,2,-1,4,3
"111",7,34,1,1,19,-5,-5,-5,6,-5
"112",7,80,1,4,22,-1,1,-1,6,4
"113",2,71,1,1,14,5,1,-1,4,4
"114",7,72,1,1,6,4,1,-1,6,3
"115",6,57,1,1,8,5,1,-1,3,4
"116",7,36,2,3,17,4,1,-1,4,3
"117",1,61,2,2,16,4,2,-1,4,1
"118",7,58,1,5,1,-1,1,-1,6,5
"119",3,30,1,2,17,5,1,-1,99,2
"120",6,80,1,1,17,-1,1,-1,6,5
"121",7,-9,1,-9,-9,-1,1,-1,6,3
"122",1,72,1,3,5,-1,2,-1,99,3
"123",1,38,1,3,1,-6,-6,-6,1,-6
"124",6,60,1,1,5,5,1,-1,99,5
"125",4,52,2,2,4,4,1,-1,5,1
"126",4,40,2,1,8,3,1,-1,4,5
"127",1,23,2,1,7,5,1,-1,2,1
"128",7,54,1,1,19,5,1,-1,6,3
"129",1,70,2,1,16,3,2,-1,3,3
"130",4,23,2,3,5,1,1,-1,99,4
"131",3,66,1,2,21,-1,2,-1,2,2
"132",7,60,1,1,19,4,2,-1,6,2
"133",5,50,2,1,17,5,1,-1,6,4
"134",7,62,1,1,20,5,1,-1,6,4
"135",4,37,2,1,17,3,2,-1,2,2
"136",4,73,2,1,6,4,2,-1,6,3
"137",6,52,1,1,20,-1,2,-1,5,1
"138",7,76,2,1,3,5,1,-1,7,4
"139",4,73,1,1,2,-1,2,-1,5,2
"140",3,42,2,1,21,5,1,-1,3,3
"141",4,67,1,1,4,5,1,-1,4,4
"142",1,64,1,1,15,-1,2,-1,4,3
"143",2,55,2,1,15,4,1,-1,99,4
"144",3,29,2,2,11,4,1,-1,2,1
"145",1,34,2,2,8,3,1,-1,6,1
"146",3,45,2,1,20,-1,2,-1,4,3
"147",2,40,1,5,22,-1,2,-1,1,1
"148",5,28,1,1,3,-6,-6,-6,4,-6
"149",2,49,1,3,20,4,1,-1,4,3
"150",1,37,1,1,18,5,2,-1,2,3
"151",7,80,2,1,19,5,1,-1,6,2
"152",2,55,2,4,13,-6,-6,-6,3,-6
"153",6,80,2,1,5,4,1,-1,3,3
"154",1,63,2,6,17,-6,-6,-6,99,-6
"155",5,66,2,1,8,-1,2,-1,6,3
"156",6,55,1,1,8,5,1,-1,5,4
"157",6,65,1,1,18,-1,1,-1,6,2
"158",1,69,2,1,14,5,2,-1,2,2
"159",7,70,2,1,3,5,1,-1,7,3
"160",7,64,1,1,13,4,1,-1,99,3
"161",7,62,1,1,18,5,2,-1,7,5
"162",6,50,1,1,21,-5,-5,-5,6,3
"163",1,46,2,2,1,5,2,-1,99,4
"164",1,67,2,6,15,-1,2,-1,2,2
"165",1,43,2,1,2,-6,-6,-6,2,-6
"166",3,30,1,1,7,5,2,-1,2,2
"167",7,80,1,1,13,5,2,-1,6,4
"168",1,58,2,1,4,-1,1,-1,4,2
"169",4,29,1,1,18,4,1,-1,4,3
"170",1,71,1,1,3,-1,2,-1,4,3
"171",7,69,1,1,17,5,2,-1,6,4
"172",1,80,1,1,22,-1,2,-1,2,2
"173",2,28,1,1,20,5,2,-1,2,3
"174",2,22,2,3,1,5,2,-1,99,2
"175",1,72,2,1,16,-1,2,-1,2,2
"176",4,63,1,1,16,-1,2,-1,4,3
"177",3,64,2,1,22,-6,-6,-6,4,-6
"178",1,61,2,1,1,1,2,-1,1,1
"179",7,60,1,3,2,5,1,-1,99,3
"180",7,48,1,1,9,5,1,-1,6,2
"181",7,69,2,1,15,5,2,-1,6,3
"182",7,80,2,1,-9,5,2,-1,4,3
"183",5,77,2,1,6,5,1,-1,6,4
"184",2,48,2,2,15,5,2,-1,4,3
"185",1,47,2,2,4,3,2,-1,3,2
"186",4,43,1,1,1,-6,-6,-6,99,-6
"187",1,71,2,3,14,-1,2,-1,99,2
"188",2,31,1,3,10,-1,2,-1,3,3
"189",1,78,2,1,20,5,2,-1,2,2
"190",1,76,2,2,22,5,2,-1,4,1
"191",5,46,2,1,1,5,1,-1,6,4
"192",3,31,2,1,15,5,1,-1,99,2
"193",4,29,2,2,17,4,1,-1,4,2
"194",1,69,2,3,7,3,1,-1,6,2
"195",2,34,2,1,10,5,2,-1,1,1
"196",6,23,1,1,4,5,2,-1,99,3
"197",3,61,1,1,9,-1,2,-1,99,5
"198",1,57,1,1,21,-1,2,-1,2,2
"199",7,33,2,1,1,5,1,-1,7,2
"200",5,-9,2,1,21,5,2,-1,4,1
"201",1,71,1,1,11,5,2,-1,3,2
"202",7,50,1,1,19,-1,1,-1,6,4
"203",4,71,2,1,16,5,1,-1,4,3
"204",4,70,2,1,9,5,1,-1,4,5
"205",4,22,1,3,10,-1,1,-1,5,3
"206",5,24,1,3,17,5,1,-1,3,2
"207",1,40,2,2,4,-1,2,-1,99,2
"208",3,49,1,1,20,5,2,-1,2,3
"209",1,56,2,1,17,5,2,-1,4,2
"210",5,59,1,3,13,5,1,-1,6,4
"211",7,63,1,1,19,5,1,-1,7,4
"212",1,73,1,1,17,-1,2,-1,2,2
"213",1,56,2,1,20,5,2,-1,3,1
"214",6,41,1,1,22,5,1,-1,4,4
"215",5,48,2,1,16,5,1,-1,99,3
"216",7,80,2,1,22,-5,-5,-5,99,-5
"217",4,36,2,2,11,-7,-7,-7,1,-7
"218",6,64,2,6,10,-1,1,-1,4,3
"219",6,28,1,1,17,5,1,-1,6,3
"220",3,21,1,1,1,-1,2,-1,3,3
"221",6,61,1,1,15,-1,1,-1,5,3
"222",1,65,1,1,2,4,2,-1,2,3
"223",7,35,2,1,10,-1,1,-1,5,3
"224",3,31,1,1,15,5,2,-1,99,3
"225",4,24,2,6,7,5,2,-1,99,2
"226",4,37,2,1,4,3,1,-1,4,3
"227",5,53,1,1,12,5,1,-1,4,2
"228",3,34,2,1,10,3,2,-1,2,1
"229",3,60,1,4,10,-1,2,-1,4,4
"230",6,66,1,1,13,4,2,-1,4,4
"231",7,70,1,1,16,5,1,-1,99,4
"232",2,51,2,1,18,5,1,-1,4,3
"233",1,44,2,1,11,5,2,-1,4,4
"234",1,60,2,2,15,5,1,-1,4,1
"235",7,34,1,5,12,-1,1,-1,7,5
"236",7,53,1,1,19,-1,1,-1,6,3
"237",1,37,2,1,18,-1,2,-1,2,1
"238",4,56,2,1,12,5,2,-1,4,2
"239",2,46,2,1,7,5,2,-1,2,1
"240",2,38,2,4,22,-6,-6,-6,3,-6
"241",4,63,2,6,15,4,2,-1,3,2
"242",1,29,1,1,3,5,2,-1,2,3
"243",2,41,1,3,10,-6,-6,-6,99,-6
"244",4,54,1,1,18,5,2,-1,4,2
"245",7,79,2,1,14,4,1,-1,7,3
"246",1,31,2,1,1,4,1,-1,4,3
"247",7,50,1,1,21,-1,1,-1,6,4
"248",1,64,2,1,11,5,2,-1,2,1
"249",1,80,2,1,-9,-1,2,-1,5,3
"250",1,60,1,1,17,-1,1,-1,4,4
"251",1,28,2,3,17,-6,-6,-6,3,-6
"252",2,46,2,3,12,5,2,-1,99,5
"253",1,66,2,1,12,4,2,-1,2,2
"254",6,63,1,2,1,-6,-6,-6,99,-6
"255",4,38,2,1,1,-1,2,-1,4,4
"256",6,59,2,1,5,5,1,-1,6,3
"257",5,64,1,1,16,5,2,-1,6,3
"258",7,72,1,1,2,5,1,-1,7,3
"259",3,68,1,1,1,5,2,-1,1,2
"260",2,28,2,1,5,4,1,-1,4,5
"261",2,27,1,1,9,5,1,-1,2,3
"262",1,62,2,1,18,3,2,-1,2,2
"263",6,70,1,1,15,5,2,-1,5,2
"264",1,29,2,1,8,5,2,-1,2,2
"265",1,62,1,2,13,-1,1,-1,99,5
"266",4,60,2,1,19,5,1,-1,99,4
"267",5,69,2,1,17,4,1,-1,6,4
"268",1,58,-9,1,21,-1,2,-1,4,2
"269",7,47,2,1,14,1,1,-1,5,3
"270",7,53,2,1,11,5,1,-1,4,4
"271",3,72,1,1,9,5,2,-1,99,1
"272",1,35,2,1,4,4,2,-1,2,2
"273",7,62,2,1,6,5,2,-1,7,2
"274",1,73,2,1,17,-1,2,-1,2,2
"275",7,28,1,1,11,1,1,-1,7,1
"276",6,57,2,1,20,5,2,-1,4,3
"277",2,29,1,1,19,5,2,-1,5,3
"278",4,39,1,1,5,-1,1,-1,3,3
"279",1,55,2,6,15,5,2,-1,2,5
"280",4,42,2,1,3,4,2,-1,4,2
"281",7,67,2,1,13,5,1,-1,7,2
"282",5,58,1,1,22,5,1,-1,6,2
"283",7,67,1,1,11,4,1,-1,6,2
"284",7,58,2,1,-9,5,1,-1,7,3
"285",2,25,1,1,13,5,2,-1,2,3
"286",2,73,2,2,6,-1,1,-1,2,2
"287",2,30,2,2,10,4,1,-1,99,1
"288",7,38,1,1,15,5,1,-1,7,3
"289",7,64,2,1,17,-6,-6,-6,6,-6
"290",2,40,2,1,18,5,2,-1,3,2
"291",4,-9,2,1,1,5,2,-1,5,2
"292",5,51,1,1,19,-1,1,-1,6,2
"293",4,61,1,1,2,5,1,-1,99,3
"294",1,59,1,2,20,4,2,-1,2,1
"295",3,58,2,3,7,5,1,-1,4,1
"296",4,53,1,5,10,5,1,-1,6,1
"297",1,75,2,1,1,4,2,-1,4,3
"298",2,37,2,1,19,4,2,-1,3,2
"299",5,77,1,1,5,5,2,-1,6,4
"300",4,-9,2,1,1,-1,-9,-1,99,2
"301",5,68,2,1,16,-1,1,-1,7,3
"302",2,66,1,1,12,-1,2,-1,99,4
"303",4,43,2,2,2,5,2,-1,99,1
"304",5,72,1,1,20,5,2,-1,4,2
"305",6,50,2,1,22,5,1,-1,5,1
"306",1,58,2,1,6,5,2,-1,2,2
"307",2,28,1,1,11,5,2,-1,3,2
"308",3,59,2,1,10,5,2,-1,4,2
"309",7,72,2,1,20,5,1,-1,7,4
"310",3,29,2,1,2,-1,2,-1,3,2
"311",1,60,1,3,15,5,2,-1,2,5
"312",3,66,1,1,13,5,1,-1,4,3
"313",1,56,1,1,10,4,2,-1,2,1
"314",7,40,1,6,21,5,1,-1,6,5
"315",6,45,2,1,1,4,2,-1,5,3
"316",5,51,2,1,15,5,2,-1,6,2
"317",1,68,2,1,10,4,2,-1,4,2
"318",6,22,1,1,21,-1,1,-1,5,3
"319",7,40,2,1,1,4,2,-1,5,3
"320",3,63,2,1,7,4,2,-1,3,2
"321",1,59,2,1,-9,4,2,-1,2,1
"322",1,53,2,3,6,5,-9,-1,6,2
"323",1,80,1,1,5,5,2,-1,99,5
"324",7,67,2,1,18,4,1,-1,7,3
"325",4,35,1,1,18,-6,-6,-6,99,-6
"326",2,69,1,1,10,2,2,-1,4,3
"327",1,80,2,1,14,-1,2,-1,6,4
"328",7,62,1,1,20,5,1,-1,7,1
"329",7,38,2,1,4,3,1,-1,99,4
"330",7,71,2,1,17,4,1,-1,99,5
"331",7,80,1,1,14,-1,1,-1,6,4
"332",2,61,2,1,22,-5,-5,-5,4,2
"333",7,65,1,1,19,-1,2,-1,6,2
"334",4,30,1,1,1,-1,2,-1,99,4
"335",7,38,2,6,1,4,1,-1,99,1
"336",5,80,2,1,-9,-6,-6,-6,99,-6
"337",2,80,1,1,18,5,2,-1,2,2
"338",6,-9,2,1,-9,5,-9,-1,5,3
"339",5,65,2,1,10,5,1,-1,6,4
"340",2,48,1,1,14,4,2,-1,2,2
"341",1,38,2,1,18,5,2,-1,1,3
"342",5,-9,1,1,22,5,2,-1,5,4
"343",2,67,2,1,20,-1,2,-1,3,2
"344",3,80,2,2,14,-1,1,-1,99,2
"345",3,33,2,1,11,5,2,-1,4,3
"346",7,76,2,1,11,5,1,-1,6,3
"347",1,43,2,2,2,-6,-6,-6,99,-6
"348",1,32,2,2,1,4,2,-1,2,3
"349",6,41,2,1,11,5,1,-1,6,2
"350",5,80,1,1,18,5,2,-1,7,2
"351",1,45,2,2,15,4,2,-1,3,2
"352",1,56,2,1,21,4,2,-1,2,2
"353",5,68,1,1,7,-1,2,-1,4,3
"354",6,73,1,1,18,5,2,-1,4,3
"355",4,69,2,1,6,5,2,-1,4,3
"356",1,73,2,1,10,-1,1,-1,3,5
"357",7,43,1,1,1,4,2,-1,6,4
"358",4,48,1,3,4,5,1,-1,4,1
"359",4,62,2,5,22,5,1,-1,4,2
"360",2,41,1,1,22,-1,2,-1,3,2
"361",1,20,1,3,6,4,1,-1,4,5
"362",7,63,2,1,2,5,1,-1,6,2
"363",2,34,2,1,16,5,2,-1,4,3
"364",2,80,2,4,6,-6,-6,-6,99,-6
"365",7,76,1,1,5,5,2,-1,6,3
"366",7,44,1,1,20,-1,2,-1,7,3
"367",3,51,2,6,11,-6,-6,-6,3,-6
"368",1,69,2,1,7,-1,2,-1,3,1
"369",7,27,1,1,13,5,1,-1,6,3
"370",7,48,2,1,15,5,2,-1,6,3
"371",3,74,2,1,2,3,2,-1,4,2
"372",4,72,2,1,20,5,1,-1,5,2
"373",7,60,2,1,10,5,2,-1,6,4
"374",1,32,1,1,18,2,2,-1,2,1
"375",7,70,2,1,1,5,2,-1,5,3
"376",5,50,1,1,21,5,1,-1,6,4
"377",1,59,1,1,11,5,2,-1,99,3
"378",4,52,1,1,22,-1,2,-1,5,3
"379",6,67,2,1,22,-6,-6,-6,5,-6
"380",5,60,2,1,21,3,1,-1,5,1
"381",2,24,1,1,22,5,2,-1,3,4
"382",7,31,1,3,15,3,1,-1,3,1
"383",7,39,1,1,15,5,1,-1,6,2
"384",3,73,1,4,5,-1,2,-1,4,3
"385",1,43,2,6,6,5,2,-1,99,3
"386",6,28,1,1,21,5,2,-1,6,5
"387",3,70,1,1,21,4,2,-1,3,3
"388",1,72,1,1,8,-1,2,-1,2,3
"389",2,59,1,3,21,-1,2,-1,3,2
"390",4,35,1,1,6,-1,1,-1,99,3
"391",7,26,2,1,6,5,1,-1,7,3
"392",1,80,2,1,4,-1,1,-1,4,1
"393",3,76,2,1,1,4,2,-1,4,2
"394",3,31,1,1,4,5,2,-1,99,3
"395",4,24,1,3,10,-1,2,-1,4,4
"396",1,53,1,1,10,4,2,-1,2,3
"397",1,55,2,2,15,5,1,-1,4,4
"398",1,39,2,4,19,-1,2,-1,1,2
"399",2,32,1,5,19,5,2,-1,99,2
"400",5,80,2,1,2,5,-9,-1,99,-9
"401",2,45,1,3,10,-6,-6,-6,99,-6
"402",7,40,1,1,5,4,1,-1,7,2
"403",4,64,1,1,1,-1,1,-1,99,2
"404",1,40,2,1,21,5,2,-1,3,3
"405",1,52,1,1,22,5,2,-1,3,3
"406",1,67,2,1,19,-1,2,-1,2,2
"407",1,72,1,1,16,5,2,-1,3,3
"408",7,-9,1,1,15,-1,2,-1,7,2
"409",7,79,1,1,4,-1,1,-1,99,5
"410",1,67,2,1,15,-1,1,-1,3,2
"411",3,24,1,3,10,-1,1,-1,3,2
"412",2,43,2,5,1,4,1,-1,1,2
"413",2,52,2,1,16,5,2,-1,6,1
"414",7,-9,2,1,10,4,1,-1,7,3
"415",1,62,1,3,7,5,1,-1,2,3
"416",6,50,1,4,21,5,1,-1,6,1
"417",4,28,1,1,15,3,1,-1,99,2
"418",7,62,1,1,4,4,1,-1,6,3
"419",7,73,2,1,4,2,1,-1,6,2
"420",7,33,1,1,20,5,1,-1,6,4
"421",1,42,2,1,19,4,2,-1,3,1
"422",3,36,1,1,16,4,1,-1,2,1
"423",2,41,2,3,10,5,2,-1,5,3
"424",1,51,2,2,2,5,2,-1,99,2
"425",5,30,2,1,1,3,1,-1,4,5
"426",1,-9,2,2,8,4,1,-1,99,4
"427",6,48,1,1,21,-6,-6,-6,7,-6
"428",5,66,2,5,17,5,2,-1,5,3
"429",1,80,2,3,1,-1,1,-1,7,2
"430",4,49,2,1,10,5,1,-1,5,4
"431",5,30,2,1,18,4,1,-1,6,1
"432",1,70,2,4,14,4,2,-1,3,3
"433",1,65,1,1,4,5,1,-1,2,3
"434",1,57,2,1,19,5,2,-1,4,2
"435",1,71,2,1,4,4,1,-1,2,3
"436",3,31,2,6,21,-6,-6,-6,2,-6
"437",3,40,2,3,15,4,1,-1,99,2
"438",7,66,1,1,7,5,1,-1,99,3
"439",2,45,2,2,1,-6,-6,-6,99,-6
"440",7,68,2,1,8,5,1,-1,4,3
"441",1,76,2,2,1,-1,2,-1,99,1
"442",6,80,2,1,6,-7,-7,-7,99,-7
"443",5,34,2,1,16,-6,-6,-6,6,-6
"444",7,44,2,1,4,5,2,-1,6,-9
"445",6,70,1,1,7,5,2,-1,4,2
"446",2,-9,2,6,10,-1,2,-1,3,3
"447",7,71,1,1,4,4,1,-1,6,3
"448",3,37,2,2,10,-5,-5,-5,99,-5
"449",6,31,1,1,9,2,2,-1,6,3
"450",4,61,2,3,11,-1,1,-1,5,2
"451",5,43,1,1,5,-5,-5,-5,7,1
"452",4,53,2,1,16,5,1,-1,4,1
"453",2,73,2,1,7,3,1,-1,4,5
"454",7,38,2,1,10,2,1,-1,7,2
"455",3,73,2,1,4,-1,2,-1,2,1
"456",4,31,2,1,10,5,1,-1,99,2
"457",5,69,2,1,14,5,1,-1,6,4
"458",4,-9,2,1,10,-1,1,-1,5,3
"459",2,45,2,1,18,5,1,-1,5,3
"460",4,41,2,2,7,5,1,-1,99,1
"461",7,66,1,1,2,5,1,-1,6,3
"462",3,41,1,1,2,-1,-9,-1,1,3
"463",2,62,2,1,1,-1,2,-1,99,5
"464",5,31,1,6,3,5,1,-1,4,3
"465",7,80,2,1,22,5,1,-1,6,2
"466",7,46,2,1,16,5,1,-1,7,5
"467",7,70,1,1,15,5,1,-1,7,3
"468",2,21,2,3,10,5,1,-1,4,2
"469",7,77,2,1,19,-1,1,-1,6,2
"470",5,66,1,5,7,4,1,-1,6,1
"471",2,33,2,1,4,-1,-9,-1,99,5
"472",1,46,1,1,4,-1,2,-1,2,2
"473",4,36,2,2,1,-1,2,-1,99,5
"474",4,68,2,4,8,5,2,-1,99,1
"475",6,71,2,2,1,5,1,-1,99,1
"476",7,37,1,1,21,5,2,-1,4,3
"477",5,30,1,2,21,5,2,-1,6,1
"478",4,79,1,1,13,-1,2,-1,4,2
"479",3,78,1,6,19,4,1,-1,2,1
"480",4,47,1,4,22,-1,2,-1,5,3
"481",1,72,2,1,17,-1,2,-1,2,3
"482",1,71,2,1,14,5,2,-1,99,3
"483",5,36,1,1,21,-1,1,-1,5,2
"484",3,35,1,1,22,-1,2,-1,5,4
"485",2,56,2,3,19,5,1,-1,99,4
"486",5,64,1,1,5,4,1,-1,4,1
"487",4,41,1,1,6,-1,2,-1,3,3
"488",4,50,1,1,18,-1,2,-1,4,4
"489",7,77,2,1,1,-6,-6,-6,7,-6
"490",6,-9,2,6,17,5,1,-1,4,4
"491",7,31,2,1,19,5,1,-1,7,2
"492",3,61,1,1,5,4,2,-1,3,3
"493",1,62,2,1,20,-1,2,-1,2,2
"494",7,57,1,1,17,-1,1,-1,6,3
"495",3,63,1,1,4,5,2,-1,3,3
"496",2,75,1,1,1,-1,1,-1,99,3
"497",6,52,2,1,9,4,1,-1,5,2
"498",3,64,2,6,18,5,2,-1,3,1
"499",5,41,1,3,20,5,1,-1,5,3
"500",7,51,1,1,16,5,1,-1,6,4
"501",7,45,1,1,10,4,1,-1,6,5
"502",1,68,2,3,1,-1,2,-1,4,1
"503",7,73,1,1,11,4,1,-1,6,3
"504",6,65,1,1,14,4,1,-1,5,4
"505",7,52,1,1,16,-6,-6,-6,7,-6
"506",7,64,1,3,4,5,2,-1,99,2
"507",7,71,1,1,10,2,1,-1,6,3
"508",6,38,2,5,13,4,2,-1,4,3
"509",4,24,2,1,3,-5,-5,-5,3,5
"510",7,66,2,2,17,-1,1,-1,4,5
"511",1,50,2,2,1,-6,-6,-6,99,-6
"512",3,49,1,1,3,4,2,-1,1,1
"513",3,40,2,4,22,3,2,-1,2,2
"514",7,73,1,1,12,3,1,-1,7,4
"515",4,65,1,1,8,-1,1,-1,4,3
"516",5,34,2,1,14,5,1,-1,4,4
"517",2,53,2,1,22,-1,2,-1,3,1
"518",1,39,2,1,21,5,2,-1,3,2
"519",4,71,1,1,8,4,2,-1,3,3
"520",4,33,2,3,14,-1,1,-1,5,2
"521",1,34,1,1,22,5,2,-1,2,3
"522",7,59,2,1,16,4,1,-1,6,3
"523",2,72,2,1,5,-1,2,-1,99,3
"524",2,52,2,1,13,5,1,-1,3,3
"525",7,53,1,1,12,4,1,-1,7,2
"526",6,35,1,1,21,-1,2,-1,4,3
"527",7,68,2,1,12,5,1,-1,5,3
"528",7,54,1,4,21,-1,1,-1,3,4
"529",1,74,2,1,2,5,1,-1,99,4
"530",7,67,2,1,1,-1,2,-1,6,4
"531",6,46,1,1,18,5,2,-1,5,2
"532",7,57,1,1,7,-1,1,-1,6,3
"533",1,34,2,2,1,-1,2,-1,4,2
"534",3,56,2,1,12,4,1,-1,3,2
"535",1,77,2,1,1,4,2,-1,3,3
"536",6,43,1,3,6,5,1,-1,5,2
"537",1,66,2,1,10,5,2,-1,3,3
"538",4,-9,1,1,1,-1,-9,-1,4,2
"539",7,60,1,1,21,4,1,-1,6,4
"540",7,39,1,1,17,-1,1,-1,6,3
"541",5,39,2,1,21,5,2,-1,5,1
"542",5,-9,2,1,-9,-1,2,-1,6,3
"543",1,53,2,2,1,5,1,-1,2,3
"544",1,71,2,1,19,4,2,-1,2,2
"545",7,76,2,1,1,-1,1,-1,6,4
"546",6,80,1,1,10,5,2,-1,6,3
"547",4,76,2,1,4,5,1,-1,99,4
"548",7,-9,1,1,11,-1,2,-1,6,3
"549",5,49,1,5,15,3,1,-1,5,2
"550",5,37,1,3,20,5,2,-1,5,3
"551",5,80,2,1,7,4,2,-1,5,1
"552",1,72,2,1,17,5,2,-1,4,3
"553",7,51,1,1,1,-1,2,-1,7,4
"554",3,70,1,1,15,5,2,-1,4,3
"555",1,45,2,2,5,5,2,-1,99,1
"556",3,31,2,1,21,5,2,-1,1,1
"557",3,72,1,1,13,5,2,-1,2,3
"558",5,71,1,1,-9,2,1,-1,6,2
"559",7,67,1,6,20,4,1,-1,7,2
"560",4,36,2,1,14,5,2,-1,5,2
"561",5,58,1,1,17,-1,1,-1,5,5
"562",6,64,1,1,14,5,1,-1,5,1
"563",4,34,1,3,1,5,2,-1,4,5
"564",1,36,2,6,20,2,2,-1,1,1
"565",2,44,1,3,18,5,1,-1,99,3
"566",5,54,2,1,22,5,2,-1,5,3
"567",2,28,1,1,17,-1,2,-1,3,3
